benchmark,problem_id,method,model,predicted_answer,ground_truth,correct,tokens_used,latency_s,steps_total,steps_verified,steps_disagreed,steps_recovered,steps_crashed,error
folio,folio_0020,cot,qwen2.5:7b,True,True,True,528,15.679,0,0,0,0,0,
folio,folio_0021,cot,qwen2.5:7b,False,Unknown,False,667,18.101,0,0,0,0,0,
folio,folio_0022,cot,qwen2.5:7b,True,True,True,730,25.674,0,0,0,0,0,
folio,folio_0023,cot,qwen2.5:7b,False,False,True,385,27.133,0,0,0,0,0,
folio,folio_0024,cot,qwen2.5:7b,True,Unknown,False,532,15.853,0,0,0,0,0,
folio,folio_0025,cot,qwen2.5:7b,True,True,True,615,22.042,0,0,0,0,0,
folio,folio_0026,cot,qwen2.5:7b,True,True,True,426,13.622,0,0,0,0,0,
folio,folio_0027,cot,qwen2.5:7b,False,False,True,511,34.535,0,0,0,0,0,
folio,folio_0028,cot,qwen2.5:7b,True,Unknown,False,877,18.816,0,0,0,0,0,
folio,folio_0029,cot,qwen2.5:7b,Unknown,Unknown,True,370,11.918,0,0,0,0,0,
folio,folio_0030,cot,qwen2.5:7b,False,False,True,519,28.279,0,0,0,0,0,
folio,folio_0031,cot,qwen2.5:7b,Unknown,Unknown,True,486,13.062,0,0,0,0,0,
folio,folio_0032,cot,qwen2.5:7b,False,False,True,572,32.643,0,0,0,0,0,
folio,folio_0033,cot,qwen2.5:7b,True,True,True,992,25.493,0,0,0,0,0,
folio,folio_0034,cot,qwen2.5:7b,True,True,True,744,35.227,0,0,0,0,0,
folio,folio_0035,cot,qwen2.5:7b,Unknown,Unknown,True,519,13.445,0,0,0,0,0,
folio,folio_0036,cot,qwen2.5:7b,True,True,True,395,14.515,0,0,0,0,0,
folio,folio_0037,cot,qwen2.5:7b,True,True,True,749,19.589,0,0,0,0,0,
folio,folio_0038,cot,qwen2.5:7b,False,Unknown,False,821,22.06,0,0,0,0,0,
folio,folio_0039,cot,qwen2.5:7b,True,False,False,628,31.507,0,0,0,0,0,
folio,folio_0000,symmetric_cgcot,qwen2.5:7b,,Unknown,False,0,0.0,0,0,0,0,0,"1 validation error for ReasoningChain
steps.2.nl_reasoning
  Field required [type=missing, input_value={'step_id': 3, 'nl_reason...', 'is_codeable': False}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing"
folio,folio_0001,symmetric_cgcot,qwen2.5:7b,True,True,True,787,31.426,6,0,0,0,0,
folio,folio_0002,symmetric_cgcot,qwen2.5:7b,True,True,True,430,12.869,2,0,0,0,0,
folio,folio_0003,symmetric_cgcot,qwen2.5:7b,False,False,True,520,18.553,3,0,0,0,0,
folio,folio_0004,symmetric_cgcot,qwen2.5:7b,True,Unknown,False,535,27.441,3,0,0,0,0,
folio,folio_0005,symmetric_cgcot,qwen2.5:7b,False,Unknown,False,600,17.445,5,0,0,0,0,
folio,folio_0006,symmetric_cgcot,qwen2.5:7b,False,False,True,523,15.779,3,0,0,0,0,
folio,folio_0007,symmetric_cgcot,qwen2.5:7b,False,False,True,479,17.355,3,0,0,0,0,
folio,folio_0008,symmetric_cgcot,qwen2.5:7b,False,True,False,510,28.064,3,0,0,0,0,
folio,folio_0009,symmetric_cgcot,qwen2.5:7b,Unknown,Unknown,True,431,20.418,1,0,0,0,0,
folio,folio_0010,symmetric_cgcot,qwen2.5:7b,Taylor does not visit the gym at least once a day.,False,False,3746,74.234,5,0,2,1,2,
folio,folio_0011,symmetric_cgcot,qwen2.5:7b,False,False,True,377,4.245,1,0,0,0,0,
folio,folio_0012,symmetric_cgcot,qwen2.5:7b,True,Unknown,False,670,17.44,4,0,0,0,0,
folio,folio_0013,symmetric_cgcot,qwen2.5:7b,False,False,True,608,11.317,4,0,0,0,0,
folio,folio_0014,symmetric_cgcot,qwen2.5:7b,Unknown,Unknown,True,591,9.565,4,0,0,0,0,
folio,folio_0015,symmetric_cgcot,qwen2.5:7b,True,False,False,1102,30.77,7,0,0,0,0,
folio,folio_0016,symmetric_cgcot,qwen2.5:7b,False,Unknown,False,383,14.598,1,0,0,0,0,
folio,folio_0017,symmetric_cgcot,qwen2.5:7b,Unknown,Unknown,True,454,9.155,2,0,0,0,0,
folio,folio_0018,symmetric_cgcot,qwen2.5:7b,,Unknown,False,0,0.0,0,0,0,0,0,"1 validation error for ReasoningChain
steps.2.nl_reasoning
  Field required [type=missing, input_value={'step_id': 3, 'nl_reason...', 'is_codeable': False}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing"
folio,folio_0019,symmetric_cgcot,qwen2.5:7b,False,False,True,526,10.966,4,0,0,0,0,
folio,folio_0020,symmetric_cgcot,qwen2.5:7b,True,True,True,525,20.323,3,0,0,0,0,
folio,folio_0021,symmetric_cgcot,qwen2.5:7b,False,Unknown,False,695,15.646,4,0,0,0,0,
folio,folio_0022,symmetric_cgcot,qwen2.5:7b,The mixture cannot be an alkane.,True,False,4536,93.189,6,0,3,1,2,
folio,folio_0023,symmetric_cgcot,qwen2.5:7b,False,False,True,1271,15.018,1,0,1,0,1,
folio,folio_0024,symmetric_cgcot,qwen2.5:7b,True,Unknown,False,536,13.255,4,0,0,0,0,
folio,folio_0025,symmetric_cgcot,qwen2.5:7b,True,True,True,684,18.568,4,0,0,0,0,
folio,folio_0026,symmetric_cgcot,qwen2.5:7b,True,True,True,349,2.778,1,0,0,0,0,
folio,folio_0027,symmetric_cgcot,qwen2.5:7b,Unknown,False,False,684,16.126,5,0,0,0,0,
folio,folio_0028,symmetric_cgcot,qwen2.5:7b,Unknown,Unknown,True,828,15.836,5,0,0,0,0,
folio,folio_0029,symmetric_cgcot,qwen2.5:7b,Unknown,Unknown,True,629,29.765,5,0,0,0,0,
folio,folio_0030,symmetric_cgcot,qwen2.5:7b,False,False,True,503,8.383,2,0,0,0,0,
folio,folio_0031,symmetric_cgcot,qwen2.5:7b,Unknown,Unknown,True,574,9.943,4,0,0,0,0,
folio,folio_0032,symmetric_cgcot,qwen2.5:7b,False,False,True,648,11.702,4,0,0,0,0,
folio,folio_0033,symmetric_cgcot,qwen2.5:7b,True,True,True,862,25.316,5,0,0,0,0,
folio,folio_0034,symmetric_cgcot,qwen2.5:7b,True,True,True,1159,46.517,8,0,0,0,0,
folio,folio_0035,symmetric_cgcot,qwen2.5:7b,Yuri cannot leap straight into the air.,Unknown,False,3218,80.589,5,1,2,1,1,
folio,folio_0036,symmetric_cgcot,qwen2.5:7b,True,True,True,552,14.507,5,0,0,0,0,
folio,folio_0037,symmetric_cgcot,qwen2.5:7b,False,True,False,701,18.683,4,0,0,0,0,
folio,folio_0038,symmetric_cgcot,qwen2.5:7b,False,Unknown,False,938,31.109,6,0,0,0,0,
folio,folio_0039,symmetric_cgcot,qwen2.5:7b,"If Tom is not both a grumpy person and mean to animals, then Tom is neither a grumpy person nor an animal lover.",False,False,5233,100.268,6,2,3,1,1,
