benchmark,problem_id,method,model,predicted_answer,ground_truth,correct,tokens_used,latency_s,steps_total,steps_verified,steps_disagreed,steps_recovered,steps_crashed,error
math,math_0035,cot,qwen2.5:7b,-42,-42,True,447,14.831,0,0,0,0,0,
math,math_0036,cot,qwen2.5:7b,4,4,True,566,20.053,0,0,0,0,0,
math,math_0037,cot,qwen2.5:7b,5636,5636,True,630,17.12,0,0,0,0,0,
math,math_0038,cot,qwen2.5:7b,1,-2,False,1371,27.411,0,0,0,0,0,
math,math_0039,cot,qwen2.5:7b,559,250,False,927,23.94,0,0,0,0,0,
math,math_0000,symmetric_cgcot,qwen2.5:7b,1.5,\frac83,False,6299,141.051,9,0,6,0,6,
math,math_0001,symmetric_cgcot,qwen2.5:7b,8,8,True,3762,62.365,4,1,3,2,2,
math,math_0002,symmetric_cgcot,qwen2.5:7b,-256,-256,True,2424,53.416,4,0,2,0,2,
math,math_0003,symmetric_cgcot,qwen2.5:7b,3,1+2\sqrt{3},False,2476,46.606,4,0,2,0,2,
math,math_0004,symmetric_cgcot,qwen2.5:7b,0.5,\frac{1}{2},False,285,17.144,1,0,0,0,0,
math,math_0005,symmetric_cgcot,qwen2.5:7b,8,\frac{49}{64},False,2426,38.631,4,0,2,0,2,
math,math_0006,symmetric_cgcot,qwen2.5:7b,12,8,False,5117,96.598,7,0,4,2,3,
math,math_0007,symmetric_cgcot,qwen2.5:7b,2,"(2,-1,2)",False,2512,71.332,4,0,2,0,2,
math,math_0008,symmetric_cgcot,qwen2.5:7b,0,0,True,1555,23.759,2,0,1,0,1,
math,math_0009,symmetric_cgcot,qwen2.5:7b,0.8225,"\left( 8 \sqrt{2}, \frac{\pi}{4}, \frac{\pi}{6} \right)",False,3798,66.868,3,0,3,2,2,
math,math_0010,symmetric_cgcot,qwen2.5:7b,36,35,False,10982,180.499,9,0,7,0,7,
math,math_0011,symmetric_cgcot,qwen2.5:7b,2,3,False,4133,85.582,10,0,3,1,1,
math,math_0012,symmetric_cgcot,qwen2.5:7b,12,12,True,4607,49.626,6,0,4,0,4,
math,math_0013,symmetric_cgcot,qwen2.5:7b,6,6,True,3723,41.234,4,0,4,1,3,
math,math_0014,symmetric_cgcot,qwen2.5:7b,7,16,False,4796,61.863,7,0,4,0,4,
math,math_0015,symmetric_cgcot,qwen2.5:7b,216,216,True,2075,19.023,3,0,2,0,2,
math,math_0016,symmetric_cgcot,qwen2.5:7b,36,\frac{1}{36},False,5057,48.946,5,0,4,1,4,
math,math_0017,symmetric_cgcot,qwen2.5:7b,8,\frac{9}{2},False,5221,94.142,6,0,3,1,3,
math,math_0018,symmetric_cgcot,qwen2.5:7b,12,12,True,380,25.184,2,0,0,0,0,
math,math_0019,symmetric_cgcot,qwen2.5:7b,1,\begin{pmatrix} -1/3 \\ 2/3 \\ 5/3 \end{pmatrix},False,5112,94.547,7,0,4,0,4,
math,math_0020,symmetric_cgcot,qwen2.5:7b,2,\frac{1}{2},False,3248,33.792,4,0,2,1,2,
math,math_0021,symmetric_cgcot,qwen2.5:7b,4,"(3,2,4)",False,3243,77.39,4,0,2,0,2,
math,math_0022,symmetric_cgcot,qwen2.5:7b,Tuesday,\text{Tuesday},True,1862,20.098,4,1,1,0,1,
math,math_0023,symmetric_cgcot,qwen2.5:7b,3,8,False,5650,55.914,7,0,5,1,5,
math,math_0024,symmetric_cgcot,qwen2.5:7b,121,\frac{36}{121},False,2999,30.165,4,0,2,1,1,
math,math_0025,symmetric_cgcot,qwen2.5:7b,2,\frac{1}{9},False,3845,38.345,5,0,3,1,3,
math,math_0026,symmetric_cgcot,qwen2.5:7b,1320,18,False,7137,151.615,9,0,5,0,5,
math,math_0027,symmetric_cgcot,qwen2.5:7b,3.5,\frac{7}{2},False,374,24.98,2,0,0,0,0,
math,math_0028,symmetric_cgcot,qwen2.5:7b,3432,3003,False,3743,37.473,3,1,2,1,2,
math,math_0029,symmetric_cgcot,qwen2.5:7b,2,3,False,2732,46.827,4,1,2,0,2,
math,math_0030,symmetric_cgcot,qwen2.5:7b,41,x^2-10x+41,False,1496,35.831,3,0,1,0,1,
math,math_0031,symmetric_cgcot,qwen2.5:7b,0,"\{-1\} \cup [0,7)",False,4021,42.92,4,0,2,1,2,
math,math_0032,symmetric_cgcot,qwen2.5:7b,12,\frac{7}{12},False,1893,17.994,3,0,1,1,1,
math,math_0033,symmetric_cgcot,qwen2.5:7b,4,4,True,4257,73.846,4,0,3,1,3,
math,math_0034,symmetric_cgcot,qwen2.5:7b,3,1+\sqrt5,False,5237,161.821,12,0,4,0,4,
math,math_0035,symmetric_cgcot,qwen2.5:7b,-42,-42,True,2742,86.653,5,0,2,1,1,
math,math_0036,symmetric_cgcot,qwen2.5:7b,4,4,True,501,28.288,3,0,0,0,0,
math,math_0037,symmetric_cgcot,qwen2.5:7b,5552,5636,False,4466,48.99,5,1,3,0,3,
math,math_0038,symmetric_cgcot,qwen2.5:7b,-2.0176,-2,False,3360,70.341,6,2,1,1,1,
math,math_0039,symmetric_cgcot,qwen2.5:7b,25,250,False,3619,58.21,5,0,2,2,2,
