benchmark,problem_id,method,model,predicted_answer,ground_truth,correct,tokens_used,latency_s,steps_total,steps_verified,steps_disagreed,steps_recovered,steps_crashed,error
gsm8k,gsm8k_0007,symmetric_cgcot,qwen2.5:7b,8.33,145,False,3965,38.135,4,0,3,3,0,
gsm8k,gsm8k_0008,symmetric_cgcot,qwen2.5:7b,60,60,True,2443,47.667,2,0,2,1,1,
gsm8k,gsm8k_0009,symmetric_cgcot,qwen2.5:7b,122,122,True,1996,18.236,3,2,1,0,1,
gsm8k,gsm8k_0010,symmetric_cgcot,qwen2.5:7b,29,29,True,4456,38.205,3,0,3,2,2,
gsm8k,gsm8k_0011,symmetric_cgcot,qwen2.5:7b,80,80,True,3147,31.152,3,1,2,1,1,
gsm8k,gsm8k_0012,symmetric_cgcot,qwen2.5:7b,,36,False,0,0.0,0,0,0,0,0,"1 validation error for ReasoningChain
steps.3.nl_reasoning
  Field required [type=missing, input_value={'step_id': 4, 'nl_reason...)', 'is_codeable': True}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing"
gsm8k,gsm8k_0013,symmetric_cgcot,qwen2.5:7b,1400,1430,False,2680,20.793,4,3,1,1,1,
gsm8k,gsm8k_0014,symmetric_cgcot,qwen2.5:7b,0.35,5,False,2547,21.863,2,0,2,2,0,
gsm8k,gsm8k_0015,symmetric_cgcot,qwen2.5:7b,235,5,False,2492,20.605,3,1,2,1,2,
gsm8k,gsm8k_0016,symmetric_cgcot,qwen2.5:7b,20,5,False,2240,28.982,2,0,2,1,1,
gsm8k,gsm8k_0017,symmetric_cgcot,qwen2.5:7b,78,66,False,2868,23.788,3,1,2,2,1,
gsm8k,gsm8k_0018,symmetric_cgcot,qwen2.5:7b,15,15,True,1598,17.108,2,1,1,1,0,
gsm8k,gsm8k_0019,symmetric_cgcot,qwen2.5:7b,40,40,True,3054,25.974,3,1,2,1,2,
gsm8k,gsm8k_0020,symmetric_cgcot,qwen2.5:7b,279,93,False,1748,16.573,3,1,1,1,1,
gsm8k,gsm8k_0021,symmetric_cgcot,qwen2.5:7b,2000,2000,True,2299,19.261,3,2,1,1,1,
gsm8k,gsm8k_0022,symmetric_cgcot,qwen2.5:7b,1520,1520,True,2545,64.154,4,1,1,1,1,
gsm8k,gsm8k_0023,symmetric_cgcot,qwen2.5:7b,4340,11050,False,3181,47.993,3,0,3,1,2,
gsm8k,gsm8k_0024,symmetric_cgcot,qwen2.5:7b,240,90,False,3439,27.389,4,2,2,2,0,
gsm8k,gsm8k_0025,symmetric_cgcot,qwen2.5:7b,40000,40000,True,4094,35.512,3,0,3,2,2,
gsm8k,gsm8k_0026,symmetric_cgcot,qwen2.5:7b,21,21,True,4803,42.032,4,0,4,2,3,
gsm8k,gsm8k_0027,symmetric_cgcot,qwen2.5:7b,18,18,True,3486,53.24,4,1,2,2,0,
gsm8k,gsm8k_0028,symmetric_cgcot,qwen2.5:7b,14,14,True,4534,42.159,5,1,3,3,0,
gsm8k,gsm8k_0029,symmetric_cgcot,qwen2.5:7b,23,23,True,3356,44.894,4,2,2,0,2,
gsm8k,gsm8k_0030,symmetric_cgcot,qwen2.5:7b,415,145,False,5161,53.506,5,1,4,2,2,
gsm8k,gsm8k_0031,symmetric_cgcot,qwen2.5:7b,123,123,True,2602,22.46,4,1,2,2,2,
gsm8k,gsm8k_0032,symmetric_cgcot,qwen2.5:7b,98,98,True,2888,37.15,3,1,2,1,1,
gsm8k,gsm8k_0033,symmetric_cgcot,qwen2.5:7b,12.00,7,False,4626,39.431,5,1,4,3,4,
gsm8k,gsm8k_0034,symmetric_cgcot,qwen2.5:7b,18.65,34,False,2435,19.594,3,1,2,1,2,
gsm8k,gsm8k_0035,symmetric_cgcot,qwen2.5:7b,28.0,38,False,4071,34.028,5,0,4,3,3,
gsm8k,gsm8k_0036,symmetric_cgcot,qwen2.5:7b,130,320,False,4788,55.367,5,0,4,2,3,
gsm8k,gsm8k_0037,symmetric_cgcot,qwen2.5:7b,30,50,False,2898,36.791,3,1,2,1,1,
gsm8k,gsm8k_0038,symmetric_cgcot,qwen2.5:7b,50,50,True,2555,23.738,4,2,1,1,1,
gsm8k,gsm8k_0039,symmetric_cgcot,qwen2.5:7b,80,84,False,3858,55.936,4,0,3,2,1,
math,math_0000,symmetric_cgcot,qwen2.5:7b,1.5,\frac83,False,6285,102.566,9,0,6,0,6,
math,math_0001,symmetric_cgcot,qwen2.5:7b,8,8,True,3754,33.427,4,1,3,2,2,
math,math_0002,symmetric_cgcot,qwen2.5:7b,-256,-256,True,2426,46.014,4,0,2,0,2,
math,math_0003,symmetric_cgcot,qwen2.5:7b,3,1+2\sqrt{3},False,2476,37.633,4,0,2,0,2,
math,math_0004,symmetric_cgcot,qwen2.5:7b,0.5,\frac{1}{2},False,285,2.401,1,0,0,0,0,
math,math_0000,cot,qwen2.5:7b,\frac{8}{3},\frac83,False,843,15.035,0,0,0,0,0,
math,math_0001,cot,qwen2.5:7b,8,8,True,339,5.087,0,0,0,0,0,
math,math_0002,cot,qwen2.5:7b,-256,-256,True,485,7.426,0,0,0,0,0,
math,math_0003,cot,qwen2.5:7b,\frac{3\sqrt{3}}{4},1+2\sqrt{3},False,829,14.45,0,0,0,0,0,
math,math_0004,cot,qwen2.5:7b,2,\frac{1}{2},False,638,11.476,0,0,0,0,0,
