benchmark,problem_id,method,model,predicted_answer,ground_truth,correct,tokens_used,latency_s,steps_total,steps_verified,steps_disagreed,steps_recovered,error
gsm8k,gsm8k_0067,cot,gpt-4o-mini,130,130,True,419,3.212,0,0,0,0,
gsm8k,gsm8k_0068,cot,gpt-4o-mini,2125,2125,True,381,2.552,0,0,0,0,
gsm8k,gsm8k_0069,cot,gpt-4o-mini,7,7,True,428,2.655,0,0,0,0,
gsm8k,gsm8k_0160,cot,gpt-4o-mini,270,270,True,286,2.006,0,0,0,0,
gsm8k,gsm8k_0161,cot,gpt-4o-mini,79,79,True,301,2.492,0,0,0,0,
gsm8k,gsm8k_0162,cot,gpt-4o-mini,90,90,True,409,2.865,0,0,0,0,
gsm8k,gsm8k_0163,cot,gpt-4o-mini,60,60,True,353,2.074,0,0,0,0,
gsm8k,gsm8k_0164,cot,gpt-4o-mini,72000,72000,True,386,2.73,0,0,0,0,
gsm8k,gsm8k_0165,cot,gpt-4o-mini,20,20,True,408,3.035,0,0,0,0,
gsm8k,gsm8k_0166,cot,gpt-4o-mini,28,28,True,555,3.91,0,0,0,0,
gsm8k,gsm8k_0167,cot,gpt-4o-mini,6,6,True,436,3.511,0,0,0,0,
gsm8k,gsm8k_0168,cot,gpt-4o-mini,1110,1110,True,399,2.358,0,0,0,0,
gsm8k,gsm8k_0169,cot,gpt-4o-mini,12.00,12,True,502,3.661,0,0,0,0,
gsm8k,gsm8k_0070,cot,gpt-4o-mini,120,120,True,370,2.318,0,0,0,0,
gsm8k,gsm8k_0071,cot,gpt-4o-mini,8,8,True,474,3.211,0,0,0,0,
gsm8k,gsm8k_0072,cot,gpt-4o-mini,144,144,True,485,3.118,0,0,0,0,
gsm8k,gsm8k_0073,cot,gpt-4o-mini,6,6,True,395,2.702,0,0,0,0,
gsm8k,gsm8k_0074,cot,gpt-4o-mini,450,450,True,248,1.691,0,0,0,0,
gsm8k,gsm8k_0075,cot,gpt-4o-mini,4400,4400,True,637,4.503,0,0,0,0,
gsm8k,gsm8k_0076,cot,gpt-4o-mini,450,450,True,405,2.503,0,0,0,0,
gsm8k,gsm8k_0077,cot,gpt-4o-mini,64,64,True,609,4.576,0,0,0,0,
gsm8k,gsm8k_0078,cot,gpt-4o-mini,27,27,True,466,3.417,0,0,0,0,
gsm8k,gsm8k_0079,cot,gpt-4o-mini,112,112,True,348,2.652,0,0,0,0,
gsm8k,gsm8k_0170,cot,gpt-4o-mini,14,14,True,426,2.989,0,0,0,0,
gsm8k,gsm8k_0171,cot,gpt-4o-mini,1,1,True,349,2.624,0,0,0,0,
gsm8k,gsm8k_0172,cot,gpt-4o-mini,12,2,False,327,2.088,0,0,0,0,
gsm8k,gsm8k_0173,cot,gpt-4o-mini,12,12,True,445,3.55,0,0,0,0,
gsm8k,gsm8k_0174,cot,gpt-4o-mini,32,32,True,426,2.981,0,0,0,0,
gsm8k,gsm8k_0175,cot,gpt-4o-mini,2.00,2,True,328,2.546,0,0,0,0,
gsm8k,gsm8k_0176,cot,gpt-4o-mini,84,84,True,462,2.871,0,0,0,0,
gsm8k,gsm8k_0177,cot,gpt-4o-mini,940,940,True,288,2.036,0,0,0,0,
gsm8k,gsm8k_0178,cot,gpt-4o-mini,32.00,32,True,645,4.755,0,0,0,0,
gsm8k,gsm8k_0179,cot,gpt-4o-mini,48,48,True,485,3.307,0,0,0,0,
gsm8k,gsm8k_0080,cot,gpt-4o-mini,32,32,True,336,2.034,0,0,0,0,
gsm8k,gsm8k_0081,cot,gpt-4o-mini,6,6,True,464,3.525,0,0,0,0,
gsm8k,gsm8k_0082,cot,gpt-4o-mini,4,4,True,349,2.241,0,0,0,0,
gsm8k,gsm8k_0083,cot,gpt-4o-mini,79,79,True,395,2.95,0,0,0,0,
gsm8k,gsm8k_0084,cot,gpt-4o-mini,35,35,True,378,2.442,0,0,0,0,
gsm8k,gsm8k_0085,cot,gpt-4o-mini,100,100,True,320,2.196,0,0,0,0,
gsm8k,gsm8k_0086,cot,gpt-4o-mini,40,40,True,310,1.936,0,0,0,0,
gsm8k,gsm8k_0087,cot,gpt-4o-mini,30,30,True,399,2.305,0,0,0,0,
gsm8k,gsm8k_0088,cot,gpt-4o-mini,170,170,True,450,2.91,0,0,0,0,
gsm8k,gsm8k_0089,cot,gpt-4o-mini,29,29,True,323,2.242,0,0,0,0,
gsm8k,gsm8k_0180,cot,gpt-4o-mini,168,168,True,442,3.47,0,0,0,0,
gsm8k,gsm8k_0181,cot,gpt-4o-mini,7,7,True,351,2.847,0,0,0,0,
gsm8k,gsm8k_0182,cot,gpt-4o-mini,80,80,True,412,2.763,0,0,0,0,
gsm8k,gsm8k_0183,cot,gpt-4o-mini,4,4,True,436,3.302,0,0,0,0,
gsm8k,gsm8k_0184,cot,gpt-4o-mini,60,60,True,454,3.158,0,0,0,0,
gsm8k,gsm8k_0185,cot,gpt-4o-mini,4000,4000,True,357,3.134,0,0,0,0,
gsm8k,gsm8k_0186,cot,gpt-4o-mini,67,67,True,373,2.796,0,0,0,0,
gsm8k,gsm8k_0187,cot,gpt-4o-mini,240,240,True,290,2.206,0,0,0,0,
gsm8k,gsm8k_0188,cot,gpt-4o-mini,120,120,True,525,3.91,0,0,0,0,
gsm8k,gsm8k_0189,cot,gpt-4o-mini,105,105,True,569,4.229,0,0,0,0,
gsm8k,gsm8k_0090,cot,gpt-4o-mini,5,5,True,289,1.781,0,0,0,0,
gsm8k,gsm8k_0091,cot,gpt-4o-mini,12,12,True,503,4.339,0,0,0,0,
gsm8k,gsm8k_0092,cot,gpt-4o-mini,310,310,True,475,2.903,0,0,0,0,
gsm8k,gsm8k_0093,cot,gpt-4o-mini,230,230,True,427,2.986,0,0,0,0,
gsm8k,gsm8k_0094,cot,gpt-4o-mini,650,650,True,387,2.474,0,0,0,0,
gsm8k,gsm8k_0095,cot,gpt-4o-mini,75,75,True,453,3.465,0,0,0,0,
gsm8k,gsm8k_0096,cot,gpt-4o-mini,7.00,7,True,404,3.157,0,0,0,0,
gsm8k,gsm8k_0097,cot,gpt-4o-mini,1600,1600,True,621,3.896,0,0,0,0,
gsm8k,gsm8k_0098,cot,gpt-4o-mini,90,90,True,445,3.103,0,0,0,0,
gsm8k,gsm8k_0099,cot,gpt-4o-mini,18,18,True,382,2.622,0,0,0,0,
gsm8k,gsm8k_0000,pot,gpt-4o-mini,2180,2280,False,242,2.423,0,0,0,0,
gsm8k,gsm8k_0001,pot,gpt-4o-mini,1.0,1,True,308,1.844,0,0,0,0,
gsm8k,gsm8k_0002,pot,gpt-4o-mini,5.0,5,True,300,1.817,0,0,0,0,
gsm8k,gsm8k_0003,pot,gpt-4o-mini,12,12,True,266,1.134,0,0,0,0,
gsm8k,gsm8k_0004,pot,gpt-4o-mini,273,273,True,277,1.955,0,0,0,0,
gsm8k,gsm8k_0005,pot,gpt-4o-mini,45.0,45,True,287,1.644,0,0,0,0,
gsm8k,gsm8k_0006,pot,gpt-4o-mini,21,21,True,206,0.894,0,0,0,0,
gsm8k,gsm8k_0007,pot,gpt-4o-mini,70,145,False,264,1.438,0,0,0,0,
gsm8k,gsm8k_0008,pot,gpt-4o-mini,60,60,True,220,0.94,0,0,0,0,
gsm8k,gsm8k_0009,pot,gpt-4o-mini,122,122,True,241,1.519,0,0,0,0,
gsm8k,gsm8k_0190,cot,gpt-4o-mini,300,300,True,419,2.87,0,0,0,0,
gsm8k,gsm8k_0191,cot,gpt-4o-mini,240,240,True,454,3.384,0,0,0,0,
gsm8k,gsm8k_0192,cot,gpt-4o-mini,110,110,True,376,2.653,0,0,0,0,
gsm8k,gsm8k_0193,cot,gpt-4o-mini,4,4,True,462,3.441,0,0,0,0,
gsm8k,gsm8k_0194,cot,gpt-4o-mini,23,23,True,679,5.47,0,0,0,0,
gsm8k,gsm8k_0195,cot,gpt-4o-mini,2,2,True,442,2.856,0,0,0,0,
gsm8k,gsm8k_0196,cot,gpt-4o-mini,2,2,True,560,3.582,0,0,0,0,
gsm8k,gsm8k_0197,cot,gpt-4o-mini,762,762,True,430,3.492,0,0,0,0,
gsm8k,gsm8k_0198,cot,gpt-4o-mini,2,2,True,467,3.482,0,0,0,0,
gsm8k,gsm8k_0199,cot,gpt-4o-mini,5600,5600,True,446,2.591,0,0,0,0,
gsm8k,gsm8k_0010,pot,gpt-4o-mini,29,29,True,377,1.319,0,0,0,0,
gsm8k,gsm8k_0011,pot,gpt-4o-mini,80,80,True,272,1.278,0,0,0,0,
gsm8k,gsm8k_0012,pot,gpt-4o-mini,36.0,36,True,265,1.233,0,0,0,0,
gsm8k,gsm8k_0013,pot,gpt-4o-mini,1430.0,1430,True,249,1.163,0,0,0,0,
gsm8k,gsm8k_0014,pot,gpt-4o-mini,5.0,5,True,224,1.132,0,0,0,0,
gsm8k,gsm8k_0015,pot,gpt-4o-mini,5,5,True,225,0.944,0,0,0,0,
gsm8k,gsm8k_0016,pot,gpt-4o-mini,5,5,True,231,1.14,0,0,0,0,
gsm8k,gsm8k_0017,pot,gpt-4o-mini,66,66,True,242,1.398,0,0,0,0,
gsm8k,gsm8k_0018,pot,gpt-4o-mini,15,15,True,235,1.034,0,0,0,0,
gsm8k,gsm8k_0019,pot,gpt-4o-mini,40,40,True,282,1.138,0,0,0,0,
gsm8k,gsm8k_0020,pot,gpt-4o-mini,93,93,True,228,1.014,0,0,0,0,
gsm8k,gsm8k_0021,pot,gpt-4o-mini,2000.0,2000,True,291,1.057,0,0,0,0,
gsm8k,gsm8k_0022,pot,gpt-4o-mini,1520,1520,True,238,0.988,0,0,0,0,
gsm8k,gsm8k_0023,pot,gpt-4o-mini,11050,11050,True,259,1.361,0,0,0,0,
gsm8k,gsm8k_0024,pot,gpt-4o-mini,90,90,True,306,1.491,0,0,0,0,
gsm8k,gsm8k_0025,pot,gpt-4o-mini,40000,40000,True,272,1.344,0,0,0,0,
gsm8k,gsm8k_0026,pot,gpt-4o-mini,21,21,True,277,1.293,0,0,0,0,
gsm8k,gsm8k_0027,pot,gpt-4o-mini,18,18,True,489,3.209,0,0,0,0,
gsm8k,gsm8k_0028,pot,gpt-4o-mini,16,14,False,234,0.782,0,0,0,0,
gsm8k,gsm8k_0029,pot,gpt-4o-mini,23,23,True,275,1.196,0,0,0,0,
gsm8k,gsm8k_0200,cot,gpt-4o-mini,227,227,True,572,3.895,0,0,0,0,
gsm8k,gsm8k_0201,cot,gpt-4o-mini,112,112,True,441,3.223,0,0,0,0,
gsm8k,gsm8k_0202,cot,gpt-4o-mini,40,40,True,477,3.587,0,0,0,0,
gsm8k,gsm8k_0203,cot,gpt-4o-mini,6,6,True,453,3.293,0,0,0,0,
gsm8k,gsm8k_0204,cot,gpt-4o-mini,30,24,False,572,3.663,0,0,0,0,
gsm8k,gsm8k_0205,cot,gpt-4o-mini,5,5,True,768,5.928,0,0,0,0,
gsm8k,gsm8k_0206,cot,gpt-4o-mini,25,25,True,446,3.367,0,0,0,0,
gsm8k,gsm8k_0207,cot,gpt-4o-mini,7,7,True,338,2.205,0,0,0,0,
gsm8k,gsm8k_0208,cot,gpt-4o-mini,5600,5600,True,341,2.282,0,0,0,0,
gsm8k,gsm8k_0209,cot,gpt-4o-mini,1,1,True,436,3.042,0,0,0,0,
gsm8k,gsm8k_0030,pot,gpt-4o-mini,145.0,145,True,335,1.379,0,0,0,0,
gsm8k,gsm8k_0031,pot,gpt-4o-mini,123,123,True,230,1.178,0,0,0,0,
gsm8k,gsm8k_0032,pot,gpt-4o-mini,98,98,True,225,1.122,0,0,0,0,
gsm8k,gsm8k_0033,pot,gpt-4o-mini,7.0,7,True,308,1.897,0,0,0,0,
gsm8k,gsm8k_0034,pot,gpt-4o-mini,34.0,34,True,272,1.284,0,0,0,0,
gsm8k,gsm8k_0035,pot,gpt-4o-mini,38.0,38,True,315,2.392,0,0,0,0,
gsm8k,gsm8k_0036,pot,gpt-4o-mini,320,320,True,270,1.081,0,0,0,0,
gsm8k,gsm8k_0037,pot,gpt-4o-mini,50,50,True,248,1.334,0,0,0,0,
gsm8k,gsm8k_0038,pot,gpt-4o-mini,50.0,50,True,257,1.34,0,0,0,0,
gsm8k,gsm8k_0039,pot,gpt-4o-mini,84,84,True,237,1.018,0,0,0,0,
gsm8k,gsm8k_0040,pot,gpt-4o-mini,50,50,True,276,1.329,0,0,0,0,
gsm8k,gsm8k_0041,pot,gpt-4o-mini,8000,8000,True,191,0.828,0,0,0,0,
gsm8k,gsm8k_0042,pot,gpt-4o-mini,280,280,True,251,1.026,0,0,0,0,
gsm8k,gsm8k_0043,pot,gpt-4o-mini,30,30,True,211,0.796,0,0,0,0,
gsm8k,gsm8k_0044,pot,gpt-4o-mini,96,192,False,332,1.861,0,0,0,0,
gsm8k,gsm8k_0045,pot,gpt-4o-mini,276,276,True,275,1.326,0,0,0,0,
gsm8k,gsm8k_0046,pot,gpt-4o-mini,32,32,True,335,1.944,0,0,0,0,
gsm8k,gsm8k_0047,pot,gpt-4o-mini,25.0,25,True,333,1.509,0,0,0,0,
gsm8k,gsm8k_0048,pot,gpt-4o-mini,10.0,10,True,237,0.946,0,0,0,0,
gsm8k,gsm8k_0049,pot,gpt-4o-mini,84,84,True,257,1.227,0,0,0,0,
gsm8k,gsm8k_0050,pot,gpt-4o-mini,147,147,True,284,1.542,0,0,0,0,
gsm8k,gsm8k_0051,pot,gpt-4o-mini,25,25,True,244,0.911,0,0,0,0,
gsm8k,gsm8k_0052,pot,gpt-4o-mini,1800,1800,True,266,1.249,0,0,0,0,
gsm8k,gsm8k_0053,pot,gpt-4o-mini,20.0,20,True,210,0.769,0,0,0,0,
gsm8k,gsm8k_0054,pot,gpt-4o-mini,140,140,True,227,1.071,0,0,0,0,
gsm8k,gsm8k_0055,pot,gpt-4o-mini,36.36363636363636,36,False,267,1.047,0,0,0,0,
gsm8k,gsm8k_0056,pot,gpt-4o-mini,1.0,1,True,330,2.069,0,0,0,0,
gsm8k,gsm8k_0057,pot,gpt-4o-mini,,1,False,252,1.083,0,0,0,0,
gsm8k,gsm8k_0058,pot,gpt-4o-mini,50,50,True,295,1.852,0,0,0,0,
gsm8k,gsm8k_0059,pot,gpt-4o-mini,860,860,True,249,1.256,0,0,0,0,
